zip_code,complainant_zip_code,c2
75202,75089,6
75202,75093,6
75202,75094,1
75202,75098,1
75202,75101,1
75202,75104,13
75202,75108,1
75202,75110,3
75202,75112,1
75202,75114,1
75202,75115,16
75202,75116,5
75202,75125,1
75202,75126,2
75202,75132,1
75202,75134,9
75202,75137,3
75202,75143,2
75202,75146,3
75202,75149,10
75202,75150,11
75202,75153,1
75202,75154,10
75202,75159,2
75202,75160,2
75202,75165,6
75202,75167,1
75202,75169,1
75202,75172,2
75202,75180,2
75202,75181,3
75202,75182,2
75202,75201,149
75202,75202,410
75202,75203,14
75202,75204,18
75202,75205,9
75202,75206,23
75202,75207,6
75202,75208,18
75202,75209,4
75202,75210,5
75202,75211,23
75202,75212,6
75202,75214,22
75202,75215,96
75202,75216,21
75202,75217,16
75202,75218,11
75202,75219,16
75202,75220,2
75202,75222,1
75202,75223,3
75202,75224,10
75202,75225,7
75202,75226,49
75202,75227,17
75202,75228,20
75202,75229,6
75202,75230,5
75202,75231,12
75202,75232,15
75202,75233,3
75202,75234,7
75202,75235,6
75202,75236,5
75202,75237,6
75202,75238,4
75202,75240,6
75202,75241,9
75202,75243,20
75202,75244,2
75202,75246,4
75202,75247,1
75202,75248,4
75202,75249,5
75202,75251,1
75202,75252,2
75202,75253,4
75202,75254,4
75202,75270,1
75202,75284,1
75202,75287,8
75202,75299,1
75202,75305,1
75202,75401,1
75202,75407,2
75202,75428,1
75202,75442,1
75202,75471,1
75202,75482,2
75202,75496,1
75202,75572,1
75202,75601,1
75202,75604,1
75202,75606,1
75202,75633,1
75202,75645,1
75202,75686,1
75202,75688,1
75202,75693,2
75202,75701,1
75202,75703,1
75202,75707,1
75202,75751,1
75202,75752,1
75202,75757,1
75202,75762,1
75202,75766,1
75202,75771,2
75202,75935,1
75202,75964,1
75202,76001,2
75202,76002,3
75202,76003,1
75202,76006,2
75202,76009,1
75202,76010,4
75202,76011,8
75202,76012,1
75202,76013,2
75202,76014,1
75202,76015,3
75202,76016,1
75202,76017,6
75202,76018,2
75202,76020,1
75202,76021,2
75202,76022,1
75202,76025,1
75202,76028,1
75202,76034,5
75202,76040,3
75202,76051,2
75202,76052,1
75202,76054,1
75202,76058,1
75202,76061,1
75202,76063,4
75202,76065,4
75202,76067,1
75202,76084,1
75202,76085,2
75202,76087,1
75202,76092,1
75202,76102,1
75202,76107,1
75202,76108,1
75202,76109,2
75202,76112,3
75202,76116,1
75202,76117,1
75202,76118,2
75202,76126,1
75202,76131,1
75202,76132,1
75202,76137,1
75202,76140,1
75202,76148,2
75202,76155,1
75202,76179,1
75202,76180,1
75202,76182,1
75202,76201,2
75202,76202,1
75202,76208,3
75202,76209,2
75202,76210,2
75202,76226,2
75202,76227,7
75202,76244,5
75202,76247,1
75202,76248,2
75202,76249,1
75202,76259,1
75202,76262,1
75202,76273,1
75202,76305,1
75202,76308,1
75202,76354,1
75202,76401,2
75202,76402,1
75202,76437,1
75202,76446,1
75202,76449,1
75202,76471,1
75202,76513,2
75202,76522,1
75202,76544,1
75202,76548,1
75202,76549,2
75202,76554,1
75202,76638,1
75202,76708,1
75202,76712,1
75202,76740,1
75202,76802,1
75202,76821,1
75202,76904,1
75202,77002,1
75202,77003,1
75202,77008,1
75202,77020,1
75202,77024,1
75202,77036,1
75202,77040,1
75202,77041,1
75202,77044,1
75202,77082,1
75202,77083,1
75202,77086,1
75202,77092,1
75202,77095,1
75202,77096,1
75202,77316,1
75202,77320,1
75202,77346,1
75202,77351,3
75202,77354,1
75202,77356,1
75202,77373,1
75202,77379,2
75202,77382,1
75202,77385,1
75202,77461,1
75202,77477,1
75202,77479,1
75202,77520,1
75202,77523,1
75202,77545,1
75202,77573,1
75202,77659,1
75202,77662,1
75202,77807,1
75202,78006,2
75202,78022,1
75202,78109,1
75202,78140,1
75202,78214,1
75202,78220,1
75202,78229,1
75202,78250,1
75202,78257,1
75202,78410,1
75202,78412,1
75202,78414,1
75202,78552,1
75202,78557,1
75202,78641,2
75202,78666,2
75202,78702,1
75202,78703,2
75202,78705,1
75202,78726,1
75202,78731,3
75202,78733,1
75202,78738,1
75202,78745,1
75202,78749,1
75202,78753,1
75202,78758,1
75202,78767,1
75202,79005,1
75202,79015,1
75202,79029,1
75202,79124,1
75202,79410,1
75202,79423,1
75202,79424,1
75202,79605,1
75202,79762,1
75202,79764,1
75202,79766,1
75202,79851,1
75202,79902,1
75202,79924,1
75202,79938,1
75203,,34
75203,0,8
75203,20785,1
75203,38119,1
75203,72232,1
75203,75000,4
75203,75001,3
75203,75002,1
75203,75006,5
75203,75007,1
75203,75013,1
75203,75023,2
75203,75024,2
75203,75028,1
75203,75032,1
75203,75034,2
75203,75035,1
75203,75038,5
75203,75040,6
75203,75041,1
75203,75042,15
75203,75043,1
75203,75044,2
75203,75047,1
75203,75050,6
75203,75051,8
75203,75052,14
75203,75056,3
75203,75057,2
75203,75060,4
75203,75061,17
75203,75062,7
75203,75063,1
75203,75065,1
75203,75067,5
75203,75068,1
75203,75069,1
75203,75070,2
75203,75071,1
75203,75074,3
75203,75080,1
75203,75081,7
75203,75084,1
75203,75086,1
75203,75087,1
75203,75088,2
75203,75089,2
75203,75093,5
75203,75098,2
75203,75103,1
75203,75104,19
75203,75110,1
75203,75115,34
75203,75116,9
75203,75125,1
75203,75126,2
75203,75134,12
75203,75137,12
75203,75140,1
75203,75141,2
75203,75146,10
75203,75149,13
75203,75150,4
75203,75154,8
75203,75158,1
75203,75159,3
75203,75160,2
75203,75165,4
75203,75172,2
75203,75180,4
75203,75181,2
75203,75189,2
75203,75201,56
75203,75202,9
75203,75203,1478
75203,75204,3
75203,75205,3
75203,75206,7
75203,75207,6
75203,75208,50
75203,75209,4
75203,75210,3
75203,75211,137
75203,75212,17
75203,75214,2
75203,75215,25
75203,75216,103
75203,75217,26
75203,75219,2
75203,75220,7
75203,75223,4
75203,75224,38
75203,75225,2
75203,75226,43
75203,75227,11
75203,75228,6
75203,75229,1
75203,75230,1
75203,75231,7
75203,75232,26
75203,75233,2
75203,75234,4
75203,75235,1
75203,75236,9
75203,75237,9
75203,75238,3
75203,75240,2
75203,75241,141
75203,75243,8
75203,75244,2
75203,75247,2
75203,75248,2
75203,75249,4
75203,75252,4
75203,75253,1
75203,75254,3
75203,75261,2
75203,75287,2
75203,75309,1
75203,75401,1
75203,75442,1
75203,75474,2
75203,75482,1
75203,75496,1
75203,75603,1
75203,75644,1
75203,75670,1
75203,75752,1
75203,75801,1
75203,76001,2
75203,76006,5
75203,76009,1
75203,76010,2
75203,76011,10
75203,76014,1
75203,76018,7
75203,76021,2
75203,76028,1
75203,76040,2
75203,76051,5
75203,76063,5
75203,76065,4
75203,76087,2
75203,76102,5
75203,76105,1
75203,76107,1
75203,76109,1
75203,76111,1
75203,76112,3
75203,76116,1
75203,76119,1
75203,76131,1
75203,76135,1
75203,76140,1
75203,76179,3
75203,76180,1
75203,76205,1
75203,76209,1
75203,76210,2
75203,76244,1
75203,76309,1
75203,76433,1
75203,77015,1
75203,77021,1
75203,77023,1
75203,77098,2
75203,77301,1
75203,78040,1
75203,78043,1
75203,78216,1
75203,78232,1
75203,78401,1
75203,78504,1
75203,78592,1
75203,78612,1
75203,78626,1
75203,78711,1
75203,78728,1
75203,78750,1
75203,79416,1
75204,,96
75204,0,8
75204,20785,1
75204,21467,1
75204,30230,1
75204,70141,1
75204,74215,1
75204,74701,1
75204,75001,10
75204,75002,15
75204,75006,6
75204,75007,8
75204,75009,1
75204,75010,6
75204,75013,2
75204,75017,1
75204,75019,6
75204,75022,3
75204,75023,12
75204,75024,8
75204,75025,8
75204,75026,2
75204,75028,1
75204,75032,9
75204,75033,8
75204,75034,11
75204,75035,2
75204,75038,3
75204,75039,11
75204,75040,16
75204,75041,4
75204,75042,3
75204,75043,14
75204,75044,14
75204,75048,4
75204,75050,5
75204,75051,2
75204,75052,19
75204,75056,11
75204,75057,4
75204,75060,8
75204,75061,17
75204,75062,8
75204,75063,7
75204,75067,5
75204,75068,4
75204,75069,3
75204,75070,12
75204,75071,7
75204,75074,11
75204,75075,2
75204,75077,5
75204,75078,3
75204,75079,1
75204,75080,10
75204,75081,23
75204,75082,2
75204,75087,8
75204,75088,8
75204,75089,9
75204,75092,6
75204,75093,8
75204,75094,1
75204,75098,5
75204,75099,1
75204,75104,20
75204,75110,2
75204,75114,1
75204,75115,14
75204,75116,9
75204,75119,3
75204,75126,9
75204,75134,6
75204,75135,1
75204,75137,2
75204,75140,1
75204,75141,1
75204,75142,3
75204,75143,1
75204,75145,1
75204,75146,6
75204,75148,1
75204,75149,19
75204,75150,16
75204,75151,1
75204,75154,4
75204,75155,1
75204,75158,1
75204,75159,3
75204,75160,3
75204,75165,3
75204,75166,1
75204,75168,1
75204,75172,1
75204,75173,1
75204,75180,5
75204,75181,4
75204,75182,2
75204,75187,1
75204,75189,4
75204,75201,148
75204,75202,17
75204,75203,15
75204,75204,2944
75204,75205,37
75204,75206,125
75204,75207,18
75204,75208,17
75204,75209,10
75204,75210,6
75204,75211,15
75204,75212,12
75204,75213,1
75204,75214,86
75204,75215,47
75204,75216,29
75204,75217,36
75204,75218,14
75204,75219,61
75204,75220,22
75204,75223,21
75204,75224,11
75204,75225,13
75204,75226,231
75204,75227,34
75204,75228,31
75204,75229,17
75204,75230,17
75204,75231,33
75204,75232,10
75204,75233,4
75204,75234,9
75204,75235,17
75204,75236,4
75204,75237,7
75204,75238,13
75204,75240,12
75204,75241,15
75204,75243,32
75204,75244,7
75204,75246,19
75204,75247,2
75204,75248,5
75204,75249,2
75204,75250,1
75204,75251,2
75204,75252,7
75204,75253,8
75204,75254,16
75204,75257,1
75204,75260,1
75204,75261,3
75204,75278,1
75204,75287,20
75204,75294,1
75204,75317,1
75204,75346,1
75204,75401,1
75204,75409,1
75204,75422,1
75204,75442,1
75204,75459,1
75204,75460,1
75204,75473,1
75204,75482,2
75204,75491,1
75204,75496,1
75204,75501,1
75204,75605,1
75204,75606,1
75204,75670,1
75204,75686,1
75204,75698,1
75204,75702,1
75204,75703,2
75204,75704,1
75204,75742,1
75204,75754,1
75204,75758,1
75204,75766,1
75204,75964,1
75204,76001,5
75204,76002,3
75204,76003,1
75204,76005,1
75204,76006,3
75204,76008,1
75204,76010,1
75204,76011,5
75204,76012,3
75204,76013,6
75204,76014,3
75204,76015,2
75204,76016,4
75204,76017,2
75204,76018,2
75204,76021,2
75204,76031,1
75204,76034,6
75204,76035,1
75204,76039,3
75204,76040,2
75204,76048,2
75204,76051,4
75204,76052,1
75204,76053,1
75204,76054,2
75204,76055,1
75204,76060,3
75204,76061,1
75204,76063,4
75204,76065,7
75204,76074,1
75204,76087,1
75204,76092,4
75204,76093,1
75204,76102,4
75204,76103,1
75204,76106,2
75204,76107,7
75204,76108,1
75204,76110,1
75204,76111,1
75204,76112,3
75204,76114,2
75204,76116,4
75204,76117,1
75204,76119,2
75204,76120,4
75204,76123,3
75204,76126,1
75204,76131,1
75204,76133,3
75204,76135,1
75204,76137,1
75204,76140,1
75204,76148,1
75204,76177,2
75204,76201,2
75204,76204,2
75204,76205,4
75204,76207,1
75204,76208,3
75204,76209,1
75204,76210,4
75204,76226,3
75204,76227,2
75204,76244,2
75204,76247,1
75204,76248,3
75204,76249,1
75204,76306,2
75204,76308,1
75204,76309,1
75204,76486,1
75204,76501,1
75204,76504,1
75204,76544,2
75204,76549,1
75204,76651,1
75204,76661,1
75204,76702,1
75204,76706,1
75204,76710,1
75204,76712,1
75204,77004,1
75204,77005,1
75204,77007,1
75204,77008,1
75204,77020,1
75204,77024,2
75204,77027,1
75204,77065,1
75204,77066,2
75204,77072,1
75204,77096,2
75204,77340,1
75204,77345,1
75204,77348,1
75204,77379,2
75204,77382,1
75204,77401,1
75204,77429,1
75204,77449,1
75204,77450,1
75204,77479,2
75204,77494,2
75204,77550,1
75204,77573,1
75204,77706,1
75204,77840,2
75204,78015,1
75204,78101,1
75204,78130,1
75204,78133,1
75204,78205,1
75204,78219,1
75204,78228,1
75204,78238,1
75204,78253,1
75204,78255,1
75204,78257,1
75204,78258,1
75204,78261,1
75204,78358,1
75204,78504,1
75204,78610,1
75204,78613,1
75204,78620,1
75204,78660,1
75204,78702,1
75204,78703,1
75204,78704,1
75204,78738,1
75204,78746,1
75204,78757,1
75204,78758,1
75204,78880,1
75204,79059,1
75204,79065,1
75204,79109,1
75204,79416,1
75204,79424,1
75204,79705,2
75204,79707,3
75204,79764,1
75205,,7
75205,0,1
75205,75006,2
75205,75007,1
75205,75009,1
75205,75010,1
75205,75023,1
75205,75025,1
75205,75032,1
75205,75034,1
75205,75040,1
75205,75042,4
75205,75043,1
75205,75044,2
75205,75056,1
75205,75062,1
75205,75067,2
75205,75068,1
75205,75070,1
75205,75081,1
75205,75083,1
75205,75088,2
75205,75089,1
75205,75093,1
75205,75098,2
75205,75114,1
75205,75126,2
75205,75134,1
75205,75137,3
75205,75149,1
75205,75150,1
75205,75152,1
75205,75154,1
75205,75155,1
75205,75159,3
75205,75160,1
75205,75180,1
75205,75201,7
75205,75202,1
75205,75203,1
75205,75204,14
75205,75205,270
75205,75206,21
75205,75209,9
75205,75211,1
75205,75214,3
75205,75216,3
75205,75217,4
75205,75218,1
75205,75219,13
75205,75220,3
75205,75223,2
75205,75224,1
75205,75225,2
75205,75226,19
75205,75227,1
75205,75228,1
75205,75229,2
75205,75230,2
75205,75231,3
75205,75235,2
75205,75238,6
75205,75241,2
75205,75243,6
75205,75244,2
75205,75249,1
75205,75252,2
75205,75254,3
75205,75287,2
75205,75454,1
75205,75605,1
75205,75846,1
75205,76006,1
75205,76009,1
75205,76015,2
75205,76017,1
75205,76021,1
75205,76034,1
75205,76067,1
75205,76102,1
75205,76103,1
75205,76107,1
75205,76109,2
75205,76133,1
75205,76207,1
75205,76209,1
75205,76244,1
75205,7656,1
75205,77024,1
75205,77068,1
75205,77479,1
75205,78209,1
75205,78606,1
75205,78626,1
75205,78704,1
75205,79424,1
75205,79924,1
75206,,54
75206,0,7
75206,10033,1
75206,20785,5
75206,65043,1
75206,73226,1
75206,75001,3
75206,75002,5
75206,75006,11
75206,75007,6
75206,75010,1
75206,75013,8
75206,75016,2
75206,75019,6
75206,75020,2
75206,75021,1
75206,75022,3
75206,75023,13
75206,75024,6
75206,75025,8
75206,75028,1
75206,75032,7
75206,75033,2
75206,75034,6
75206,75035,7
75206,75038,1
75206,75039,6
75206,75040,16
75206,75041,9
75206,75042,9
75206,75043,9
75206,75044,8
75206,75048,3
75206,75050,4
75206,75051,1
75206,75052,7
75206,75056,8
75206,75057,2
75206,75060,6
75206,75061,6
75206,75062,5
75206,75063,6
75206,75065,1
75206,75067,4
75206,75068,8
75206,75069,2
75206,75070,16
75206,75071,9
75206,75074,15
75206,75075,8
75206,75076,1
75206,75077,2
75206,75078,2
75206,75080,10
75206,75081,13
75206,75082,4
75206,75085,1
75206,75086,1
75206,75087,6
75206,75088,4
75206,75089,6
75206,75090,3
75206,75092,2
75206,75093,9
75206,75094,5
75206,75098,5
75206,75104,10
75206,75109,1
75206,75110,1
75206,75114,4
75206,75115,5
75206,75116,2
75206,75119,3
75206,75121,1
75206,75123,1
75206,75125,1
75206,75126,8
75206,75134,5
75206,75137,3
75206,75141,2
75206,75142,2
75206,75146,2
75206,75149,13
75206,75150,23
75206,75152,1
75206,75154,7
75206,75158,2
75206,75159,2
75206,75160,1
75206,75163,1
75206,75165,2
75206,75167,1
75206,75180,6
75206,75181,5
75206,75182,2
75206,75189,5
75206,75200,1
75206,75201,91
75206,75202,12
75206,75203,6
75206,75204,90
75206,75205,33
75206,75206,2468
75206,75207,12
75206,75208,12
75206,75209,6
75206,75210,2
75206,75211,19
75206,75212,9
75206,75214,109
75206,75215,32
75206,75216,16
75206,75217,25
75206,75218,30
75206,75219,34
75206,75220,12
75206,75223,16
75206,75224,13
75206,75225,28
75206,75226,145
75206,75227,16
75206,75228,34
75206,75229,13
75206,75230,14
75206,75231,49
75206,75232,3
75206,75233,1
75206,75234,5
75206,75235,12
75206,75236,4
75206,75237,5
75206,75238,50
75206,75240,16
75206,75241,9
75206,75242,1
75206,75243,45
75206,75244,5
75206,75246,8
75206,75247,3
75206,75248,13
75206,75249,2
75206,75251,2
75206,75252,5
75206,75253,2
75206,75254,10
75206,75261,1
75206,75275,1
75206,75287,20
75206,75409,2
75206,75420,1
75206,75424,1
75206,75432,1
75206,75452,1
75206,75453,1
75206,75474,2
75206,75503,1
75206,75605,1
75206,75615,1
75206,75648,1
75206,75701,2
75206,75707,1
75206,75751,1
75206,75754,1
75206,75759,1
75206,75778,1
75206,75785,1
75206,75904,1
75206,75910,1
75206,75975,1
75206,76001,2
75206,76002,3
75206,76006,1
75206,76008,1
75206,76009,1
75206,76010,1
75206,76011,2
75206,76012,1
75206,76013,3
75206,76014,1
75206,76016,2
75206,76017,2
75206,76018,2
75206,76020,1
75206,76021,6
75206,76028,5
75206,76034,3
75206,76039,4
75206,76040,3
75206,76049,1
75206,76051,3
75206,76052,1
75206,76053,1
75206,76063,6
75206,76065,1
75206,76068,1
75206,76077,1
75206,76084,2
75206,76087,1
75206,76092,8
75206,76102,2
75206,76103,1
75206,76104,1
75206,76106,1
75206,76107,3
75206,76108,1
75206,76111,1
75206,76112,3
75206,76115,1
75206,76118,1
75206,76119,1
75206,76126,2
75206,76132,1
75206,76133,2
75206,76137,1
75206,76148,2
75206,76155,2
75206,76179,3
75206,76180,1
75206,76182,1
75206,76201,1
75206,76208,1
75206,76209,1
75206,76210,3
75206,76226,1
75206,76227,1
75206,76234,1
75206,76240,1
75206,76244,4
75206,76248,3
75206,76262,2
75206,76264,1
75206,76269,1
75206,76311,1
75206,76401,1
75206,76550,1
75206,76567,1
75206,76570,1
75206,76621,1
75206,76626,1
75206,76632,1
