a.ucr_offense_description,a.month1_of_occurence,a.year1_of_occurrence,a.complainant_gender,_c4
AGGRAVATED ASSAULT,December,2016,M,9
AGGRAVATED ASSAULT,February,2016,F,1
AGGRAVATED ASSAULT,February,2016,M,6
AGGRAVATED ASSAULT,February,2017,M,2
AGGRAVATED ASSAULT,January,2015,M,1
AGGRAVATED ASSAULT,January,2016,F,2
AGGRAVATED ASSAULT,January,2016,M,2
AGGRAVATED ASSAULT,January,2017,M,9
AGGRAVATED ASSAULT,July,2015,M,4
AGGRAVATED ASSAULT,July,2016,F,1
AGGRAVATED ASSAULT,July,2016,M,1
AGGRAVATED ASSAULT,June,2015,F,3
AGGRAVATED ASSAULT,June,2015,M,3
AGGRAVATED ASSAULT,June,2016,F,2
AGGRAVATED ASSAULT,June,2016,M,1
AGGRAVATED ASSAULT,March,2015,F,1
AGGRAVATED ASSAULT,March,2015,M,1
AGGRAVATED ASSAULT,March,2016,F,1
AGGRAVATED ASSAULT,March,2016,M,3
AGGRAVATED ASSAULT,May,2015,M,7
AGGRAVATED ASSAULT,May,2016,M,7
AGGRAVATED ASSAULT,November,2015,F,1
AGGRAVATED ASSAULT,November,2015,M,4
AGGRAVATED ASSAULT,November,2016,F,2
AGGRAVATED ASSAULT,November,2016,M,4
AGGRAVATED ASSAULT,October,2015,M,6
AGGRAVATED ASSAULT,October,2016,F,2
AGGRAVATED ASSAULT,October,2016,M,7
AGGRAVATED ASSAULT,September,2015,F,1
AGGRAVATED ASSAULT,September,2015,M,3
AGGRAVATED ASSAULT,September,2016,F,1
AGGRAVATED ASSAULT,September,2016,M,6
ANIMAL BITE,April,2015,F,1
ANIMAL BITE,April,2016,F,1
ANIMAL BITE,April,2016,M,1
ANIMAL BITE,August,2015,F,1
ANIMAL BITE,August,2016,F,2
ANIMAL BITE,December,2015,M,1
ANIMAL BITE,December,2016,M,2
ANIMAL BITE,February,2017,F,2
ANIMAL BITE,February,2017,M,1
ANIMAL BITE,January,2016,F,1
ANIMAL BITE,January,2017,F,1
ANIMAL BITE,July,2016,F,2
ANIMAL BITE,July,2016,M,1
ANIMAL BITE,June,2015,F,1
ANIMAL BITE,June,2016,M,1
ANIMAL BITE,March,2015,M,1
ANIMAL BITE,March,2016,F,2
ANIMAL BITE,November,2016,M,4
ANIMAL BITE,October,2015,F,2
ANIMAL BITE,October,2016,F,2
ANIMAL BITE,October,2016,M,1
ANIMAL BITE,September,2016,F,1
ANIMAL BITE,September,2016,M,1
ARSON,April,2015,,1
ARSON,April,2016,,1
ARSON,August,2016,,1
ARSON,December,2015,,1
ARSON,December,2016,,1
ARSON,December,2016,M,1
ARSON,February,2015,,1
ARSON,February,2017,,1
ARSON,July,2016,,1
ARSON,June,2015,,2
ARSON,March,2015,,2
ARSON,May,2015,,2
ARSON,October,2016,,1
ARSON,September,2015,,1
ASSAULT,April,2015,F,10
ASSAULT,April,2015,M,17
ASSAULT,April,2016,,1
ASSAULT,April,2016,F,13
ASSAULT,April,2016,M,18
ASSAULT,August,2015,F,12
ASSAULT,August,2015,M,16
