a.zip_code,a.year1_of_occurrence,a.day1_of_the_week,_c3
75203,2015,Mon,179
75203,2015,Sat,179
75203,2015,Sun,176
75203,2015,Thu,189
75203,2015,Tue,168
75203,2015,Wed,174
75203,2016,Fri,224
75203,2016,Mon,220
75203,2016,Sat,260
75203,2016,Sun,218
75203,2016,Thu,219
75203,2016,Tue,228
75203,2016,Wed,219
75203,2017,Fri,34
75203,2017,Mon,29
75203,2017,Sat,26
75203,2017,Sun,32
75203,2017,Thu,29
75203,2017,Tue,25
75203,2017,Wed,33
75205,2014,Tue,1
75205,2015,Fri,42
75205,2015,Mon,27
75205,2015,Sat,25
75205,2015,Sun,34
75205,2015,Thu,33
75205,2015,Tue,30
75205,2015,Wed,25
75205,2016,Fri,47
75205,2016,Mon,35
75205,2016,Sat,35
75205,2016,Sun,33
75205,2016,Thu,39
75205,2016,Tue,45
75205,2016,Wed,39
75205,2017,Fri,6
75205,2017,Mon,6
75205,2017,Sat,5
75205,2017,Sun,2
75205,2017,Thu,4
75205,2017,Tue,8
75205,2017,Wed,5
75207,2014,Mon,2
75207,2014,Sun,1
75207,2014,Thu,1
75207,2015,Fri,141
75207,2015,Mon,115
75207,2015,Sat,143
75207,2015,Sun,106
75207,2015,Thu,125
75207,2015,Tue,81
75207,2015,Wed,112
75207,2016,Fri,167
75207,2016,Mon,126
75207,2016,Sat,174
75207,2016,Sun,126
75207,2016,Thu,135
75207,2016,Tue,130
75207,2016,Wed,142
75207,2017,Fri,17
75207,2017,Mon,16
75207,2017,Sat,23
75207,2017,Sun,24
75207,2017,Thu,16
75207,2017,Tue,21
75207,2017,Wed,25
75209,2013,Sun,1
75209,2014,Fri,1
75209,2014,Mon,2
75209,2014,Thu,1
75209,2014,Tue,1
75209,2014,Wed,3
75209,2015,Fri,98
75209,2015,Mon,103
75209,2015,Sat,88
75209,2015,Sun,84
75209,2015,Thu,96
75209,2015,Tue,108
75209,2015,Wed,107
75209,2016,Fri,127
75209,2016,Mon,123
75209,2016,Sat,120
75209,2016,Sun,87
75209,2016,Thu,111
75209,2016,Tue,117
75209,2016,Wed,118
75209,2017,Fri,10
75209,2017,Mon,8
75209,2017,Sat,12
75209,2017,Sun,17
75209,2017,Thu,14
75209,2017,Tue,16
75209,2017,Wed,16
75210,,,1
75210,2013,Tue,1
75210,2014,Tue,1
75210,2015,Fri,122
75210,2015,Mon,166
75210,2015,Sat,144
75210,2015,Sun,156
75210,2015,Thu,137
75210,2015,Tue,135
75210,2015,Wed,139
75210,2016,Fri,156
75210,2016,Mon,170
75210,2016,Sat,173
75210,2016,Sun,184
75210,2016,Thu,156
75210,2016,Tue,171
75210,2016,Wed,149
75210,2017,Fri,15
75210,2017,Mon,19
75210,2017,Sat,16
75210,2017,Sun,10
75210,2017,Thu,15
75210,2017,Tue,12
75210,2017,Wed,12
75211,2013,Thu,1
75211,2014,Fri,5
75211,2014,Mon,2
75211,2014,Sat,1
75211,2014,Sun,1
75211,2014,Thu,1
75211,2014,Tue,2
75211,2014,Wed,2
75211,2015,Fri,484
75211,2015,Mon,436
75211,2015,Sat,488
75211,2015,Sun,506
75211,2015,Thu,451
75211,2015,Tue,450
75211,2015,Wed,476
75211,2016,Fri,517
75211,2016,Mon,540
75211,2016,Sat,537
75211,2016,Sun,535
75211,2016,Thu,514
75211,2016,Tue,537
75211,2016,Wed,516
75211,2017,Fri,69
75211,2017,Mon,69
75211,2017,Sat,47
75211,2017,Sun,82
75211,2017,Thu,50
75211,2017,Tue,60
75211,2017,Wed,42
75212,2014,Wed,1
75212,2015,Fri,246
75212,2015,Mon,216
75212,2015,Sat,222
75212,2015,Sun,214
75212,2015,Thu,252
75212,2015,Tue,192
75212,2015,Wed,253
75212,2016,Fri,245
75212,2016,Mon,238
75212,2016,Sat,228
75212,2016,Sun,233
75212,2016,Thu,222
75212,2016,Tue,242
75212,2016,Wed,237
75212,2017,Fri,41
75212,2017,Mon,38
75212,2017,Sat,40
75212,2017,Sun,38
75212,2017,Thu,33
75212,2017,Tue,26
75212,2017,Wed,36
75214,2014,Mon,3
75214,2014,Sat,1
75214,2015,Fri,173
75214,2015,Mon,183
75214,2015,Sat,158
75214,2015,Sun,145
75214,2015,Thu,173
75214,2015,Tue,188
75214,2015,Wed,189
75214,2016,Fri,234
75214,2016,Mon,207
75214,2016,Sat,197
75214,2016,Sun,156
75214,2016,Thu,252
75214,2016,Tue,188
75214,2016,Wed,183
75214,2017,Fri,23
75214,2017,Mon,18
75214,2017,Sat,19
75214,2017,Sun,37
75214,2017,Thu,25
75214,2017,Tue,25
75214,2017,Wed,18
75215,2004,Wed,1
75215,2008,Tue,1
75215,2012,Fri,1
75215,2012,Sun,1
75215,2012,Wed,1
75215,2013,Sat,1
75215,2013,Tue,2
75215,2013,Wed,1
75215,2014,Fri,3
75215,2014,Mon,6
75215,2014,Sat,5
75215,2014,Sun,4
75215,2014,Thu,6
75215,2014,Tue,5
75215,2014,Wed,6
75215,2015,Fri,375
75215,2015,Mon,312
75215,2015,Sat,329
75215,2015,Sun,285
75215,2015,Thu,327
75215,2015,Tue,361
75215,2015,Wed,353
75215,2016,Fri,407
75215,2016,Mon,354
75215,2016,Sat,370
75215,2016,Sun,329
75215,2016,Thu,382
75215,2016,Tue,400
75215,2016,Wed,402
75215,2017,Fri,52
75215,2017,Mon,56
75215,2017,Sat,51
75215,2017,Sun,44
75215,2017,Thu,43
75215,2017,Tue,51
75215,2017,Wed,64
75216,2004,Thu,1
75216,2013,Mon,1
75216,2013,Tue,1
75216,2014,Fri,1
75216,2014,Mon,1
75216,2014,Sat,1
75216,2014,Sun,1
75216,2014,Tue,2
75216,2015,Fri,551
75216,2015,Mon,533
75216,2015,Sat,560
75216,2015,Sun,493
75216,2015,Thu,502
75216,2015,Tue,469
75216,2015,Wed,470
75216,2016,Fri,696
75216,2016,Mon,682
75216,2016,Sat,685
75216,2016,Sun,611
75216,2016,Thu,637
75216,2016,Tue,664
75216,2016,Wed,658
75216,2017,Fri,85
75216,2017,Mon,91
75216,2017,Sat,84
75216,2017,Sun,80
75216,2017,Thu,85
75216,2017,Tue,80
75216,2017,Wed,82
75217,1989,Fri,1
75217,2010,Thu,1
75217,2014,Fri,4
75217,2014,Mon,2
75217,2014,Sat,2
75217,2014,Thu,2
75217,2014,Tue,1
75217,2014,Wed,1
75217,2015,Fri,682
75217,2015,Mon,645
75217,2015,Sat,661
75217,2015,Sun,643
75217,2015,Thu,693
75217,2015,Tue,669
75217,2015,Wed,738
75217,2016,Fri,813
75217,2016,Mon,758
75217,2016,Sat,754
75217,2016,Sun,767
75217,2016,Thu,752
75217,2016,Tue,772
75217,2016,Wed,745
75217,2017,Fri,109
75217,2017,Mon,113
75217,2017,Sat,113
75217,2017,Sun,119
75217,2017,Thu,101
75217,2017,Tue,87
75217,2017,Wed,109
75219,2010,Fri,1
75219,2014,Fri,2
75219,2014,Mon,2
75219,2014,Sat,1
75219,2014,Thu,1
75219,2014,Wed,2
75219,2015,Fri,235
75219,2015,Mon,193
75219,2015,Sat,211
75219,2015,Sun,216
75219,2015,Thu,189
75219,2015,Tue,163
75219,2015,Wed,194
75219,2016,Fri,277
75219,2016,Mon,221
75219,2016,Sat,256
75219,2016,Sun,260
75219,2016,Thu,211
75219,2016,Tue,219
75219,2016,Wed,201
75219,2017,Fri,30
75219,2017,Mon,21
75219,2017,Sat,35
75219,2017,Sun,37
75219,2017,Thu,28
75219,2017,Tue,27
75219,2017,Wed,42
75224,2014,Wed,1
75224,2015,Fri,260
75224,2015,Mon,251
75224,2015,Sat,266
75224,2015,Sun,261
75224,2015,Thu,274
75224,2015,Tue,230
75224,2015,Wed,249
75224,2016,Fri,360
75224,2016,Mon,339
75224,2016,Sat,322
75224,2016,Sun,305
75224,2016,Thu,331
75224,2016,Tue,273
75224,2016,Wed,335
75224,2017,Fri,38
75224,2017,Mon,47
75224,2017,Sat,36
75224,2017,Sun,55
75224,2017,Thu,40
75224,2017,Tue,41
75224,2017,Wed,35
75225,2014,Mon,1
75225,2014,Tue,1
75225,2014,Wed,3
75225,2015,Fri,94
75225,2015,Mon,122
75225,2015,Sat,127
75225,2015,Sun,90
75225,2015,Thu,117
75225,2015,Tue,101
75225,2015,Wed,105
75225,2016,Fri,111
75225,2016,Mon,111
75225,2016,Sat,153
75225,2016,Sun,102
75225,2016,Thu,116
75225,2016,Tue,104
75225,2016,Wed,113
75225,2017,Fri,13
75225,2017,Mon,13
75225,2017,Sat,13
75225,2017,Sun,14
75225,2017,Thu,19
75225,2017,Tue,7
75225,2017,Wed,14
75227,2009,Mon,1
75227,2011,Sat,1
75227,2014,Mon,1
75227,2014,Wed,1
75227,2015,Fri,421
75227,2015,Mon,470
75227,2015,Sat,451
75227,2015,Sun,441
75227,2015,Thu,451
75227,2015,Tue,467
75227,2015,Wed,406
75227,2016,Fri,545
75227,2016,Mon,563
75227,2016,Sat,466
75227,2016,Sun,449
75227,2016,Thu,469
75227,2016,Tue,520
75227,2016,Wed,468
75227,2017,Fri,45
75227,2017,Mon,63
75227,2017,Sat,64
75227,2017,Sun,68
75227,2017,Thu,65
75227,2017,Tue,74
75227,2017,Wed,59
75228,2003,Tue,1
75228,2010,Tue,1
75228,2012,Wed,1
75228,2014,Sat,1
75228,2014,Thu,1
75228,2014,Tue,1
75228,2014,Wed,2
75228,2015,Fri,506
75228,2015,Mon,564
75228,2015,Sat,536
75228,2015,Sun,497
75228,2015,Thu,553
75228,2015,Tue,517
75228,2015,Wed,558
75228,2016,Fri,660
75228,2016,Mon,647
75228,2016,Sat,635
75228,2016,Sun,612
75228,2016,Thu,653
75228,2016,Tue,544
75228,2016,Wed,611
75228,2017,Fri,92
75228,2017,Mon,97
75228,2017,Sat,60
75228,2017,Sun,96
75228,2017,Thu,83
75228,2017,Tue,97
75228,2017,Wed,59
75229,2013,Mon,1
75229,2013,Sat,1
75229,2014,Fri,2
75229,2014,Sun,1
75229,2014,Tue,3
75229,2015,Fri,345
75229,2015,Mon,250
75229,2015,Sat,334
75229,2015,Sun,254
75229,2015,Thu,294
75229,2015,Tue,261
75229,2015,Wed,277
75229,2016,Fri,388
75229,2016,Mon,314
75229,2016,Sat,353
75229,2016,Sun,309
75229,2016,Thu,353
75229,2016,Tue,323
75229,2016,Wed,301
75229,2017,Fri,53
75229,2017,Mon,53
75229,2017,Sat,36
75229,2017,Sun,53
75229,2017,Thu,49
75229,2017,Tue,36
75229,2017,Wed,43
75230,2014,Fri,1
75230,2015,Fri,117
75230,2015,Mon,104
75230,2015,Sat,102
75230,2015,Sun,88
75230,2015,Thu,100
75230,2015,Tue,109
75230,2015,Wed,112
75230,2016,Fri,137
75230,2016,Mon,111
75230,2016,Sat,99
75230,2016,Sun,109
75230,2016,Thu,127
75230,2016,Tue,150
75230,2016,Wed,122
75230,2017,Fri,20
75230,2017,Mon,15
75230,2017,Sat,11
75230,2017,Sun,19
75230,2017,Thu,13
75230,2017,Tue,11
75230,2017,Wed,18
75232,2014,Wed,1
75232,2015,Fri,252
75232,2015,Mon,245
75232,2015,Sat,209
75232,2015,Sun,207
75232,2015,Thu,221
75232,2015,Tue,228
75232,2015,Wed,223
75232,2016,Fri,253
75232,2016,Mon,265
75232,2016,Sat,219
75232,2016,Sun,236
75232,2016,Thu,232
75232,2016,Tue,278
75232,2016,Wed,244
75232,2017,Fri,33
75232,2017,Mon,26
75232,2017,Sat,29
75232,2017,Sun,29
75232,2017,Thu,26
75232,2017,Tue,33
75232,2017,Wed,27
75233,2014,Fri,1
75233,2014,Tue,1
75233,2015,Fri,105
75233,2015,Mon,111
75233,2015,Sat,98
75233,2015,Sun,106
75233,2015,Thu,99
75233,2015,Tue,88
75233,2015,Wed,107
75233,2016,Fri,126
75233,2016,Mon,121
75233,2016,Sat,117
75233,2016,Sun,133
75233,2016,Thu,138
75233,2016,Tue,121
75233,2016,Wed,139
75233,2017,Fri,24
75233,2017,Mon,27
75233,2017,Sat,19
75233,2017,Sun,16
75233,2017,Thu,20
75233,2017,Tue,17
75233,2017,Wed,18
75235,2013,Tue,1
