a.ucr_offense_description,a.month1_of_occurence,a.year1_of_occurrence,a.complainant_gender,_c4
ACCIDENTAL INJURY,September,2016,F,5
ACCIDENTAL INJURY,September,2016,M,7
AGGRAVATED ASSAULT,April,2015,F,7
AGGRAVATED ASSAULT,April,2015,M,12
AGGRAVATED ASSAULT,April,2016,F,8
AGGRAVATED ASSAULT,April,2016,M,17
AGGRAVATED ASSAULT,August,2015,F,5
AGGRAVATED ASSAULT,August,2015,M,19
AGGRAVATED ASSAULT,August,2016,F,5
AGGRAVATED ASSAULT,August,2016,M,6
AGGRAVATED ASSAULT,December,2015,F,8
AGGRAVATED ASSAULT,December,2015,M,18
AGGRAVATED ASSAULT,December,2016,F,6
AGGRAVATED ASSAULT,December,2016,M,13
AGGRAVATED ASSAULT,February,2015,F,1
AGGRAVATED ASSAULT,February,2015,M,7
AGGRAVATED ASSAULT,February,2016,F,4
AGGRAVATED ASSAULT,February,2016,M,14
AGGRAVATED ASSAULT,February,2017,F,2
AGGRAVATED ASSAULT,February,2017,M,12
AGGRAVATED ASSAULT,January,2016,F,3
AGGRAVATED ASSAULT,January,2016,M,14
AGGRAVATED ASSAULT,January,2017,F,1
AGGRAVATED ASSAULT,January,2017,M,17
AGGRAVATED ASSAULT,July,2015,F,5
AGGRAVATED ASSAULT,July,2015,M,15
AGGRAVATED ASSAULT,July,2016,F,6
AGGRAVATED ASSAULT,July,2016,M,17
AGGRAVATED ASSAULT,June,2015,F,7
AGGRAVATED ASSAULT,June,2015,M,17
AGGRAVATED ASSAULT,June,2016,,1
AGGRAVATED ASSAULT,June,2016,F,5
AGGRAVATED ASSAULT,June,2016,M,13
AGGRAVATED ASSAULT,March,2015,F,6
AGGRAVATED ASSAULT,March,2015,M,10
AGGRAVATED ASSAULT,March,2016,F,3
AGGRAVATED ASSAULT,March,2016,M,21
AGGRAVATED ASSAULT,May,2015,F,4
AGGRAVATED ASSAULT,May,2015,M,8
AGGRAVATED ASSAULT,May,2016,F,5
AGGRAVATED ASSAULT,May,2016,M,20
AGGRAVATED ASSAULT,November,2015,F,6
AGGRAVATED ASSAULT,November,2015,M,10
AGGRAVATED ASSAULT,November,2016,F,4
AGGRAVATED ASSAULT,November,2016,M,17
AGGRAVATED ASSAULT,October,2015,M,15
AGGRAVATED ASSAULT,October,2016,F,5
AGGRAVATED ASSAULT,October,2016,M,21
AGGRAVATED ASSAULT,September,2015,F,6
AGGRAVATED ASSAULT,September,2015,M,18
AGGRAVATED ASSAULT,September,2016,F,7
AGGRAVATED ASSAULT,September,2016,M,14
ANIMAL BITE,April,2015,M,2
ANIMAL BITE,April,2016,M,1
ANIMAL BITE,August,2015,M,3
ANIMAL BITE,August,2016,F,2
ANIMAL BITE,August,2016,M,1
ANIMAL BITE,December,2015,F,1
ANIMAL BITE,December,2016,F,1
ANIMAL BITE,December,2016,M,1
