75223	57,646	75223	53	75223	13573
75231	59,154	75231	74	75231	37979
75224	47,306	75224	62	75224	35655
75217	41,323	75217	54	75217	82353
75220	78,539	75220	52	75220	44450
75212	38,243 	75212	51	75212	26043
75240	59,253 	75240	68	75240	26603
75247	19,723 	75247	69	75247	629
75216	32,119 	75216	61	75216	51133
75205	223,955 	75205	99	75205	24050
75206	82,942 	75206	89	75206	38826
75243	55,201 	75243	81	75243	61406
75254	71,372 	75254	83	75254	25375
75233	50,867 	75233	69	75233	15373
75232	44,395 	75232	76	75232	29155
75209	148,090 	75209	90	75209	14430
75201	124,191 	75201	95	75201	12009
75229	133,695 	75229	78	75229	32806
75208	74,318 	75208	63	75208	30129
75227	44,733 	75227	61	75227	57876
75241	45,098 	75241	81	75241	29362
75253	44,368 	75253	60	75253	19514
75214	121,534 	75214	92	75214	33815
75234	73,835 	75234	80	75234	39682
75237	33,180 	75237	80	75237	19312
75211	45,438 	75211	51	75211	76261
75202	103,292 	75202	100	75202	2206
75207	105,484 	75207	73	75207	8932
75228	49,349 	75228	66	75228	
75244	112,815 	75244	93	75244	13351
75238	82,899 	75238	83	75238	31362
75226	61,852 	75226	78	75226	3571
75204	99,502 	75204	88	75204	28672
75230	148,170 	75230	92	75230	27052
75219	111,422 	75219	85	75219	22237
75248	109,426 	75248	93	75248	35236
75203	41,945 	75203	65	75203	15549
75287	70,524 	75287	93	75287	52559
75218	97,241 	75218	92	75218	22264
75236	51,920 	75236	73	75236	16406
75235	53,701 	75235	72	75235	18914
75215	35,542 	75215	72	75215	14645
75225	245,231 	75225	99	75225	21001
75252	95,686 	75252	94	75252	25749
75210	25,727 	75210	58	75210	7365
75051	51,235 	75051	65	75051	42711
75251	82,373 	75251	99	75251	2876
75249	65,579 	75249	83	75249	14496
75134	53,215 	75134	87	75134	21397
75019	136,284 	75019	97	75019	40610
75246	54,841 	75246	65	75246	2895
76018	70,556 	76018	85	76018	28507
75150	58,441 	75150	80	75150	60810
75116	58,505 	75116	78	75116	20465
75060	57,924 	75060	68	75060	47538
75154	82,796 	75154	85	75154	38440
75048	99,517 	75048	92	75048	22585
75115	75,791 	75115	91	75115	51147
75040	66,538 	75040	73	75040	60948
75052	80,528 	75052	87	75052	91137
75006	74,809 	75006	77	75006	49620
75088	92,942 	75088	90	75088	25827
75149	56,497 	75149	78	75149	56366
75042	47,537 	75042	63	75042	40264
75089	95,062 	75089	90	75089	31461
75087	106,693 	75087	93	75087	31253
75062	60,539 	75062	77	75062	47347
75159	61,127 	75159	73	75159	18861
75081	81,351 	75081	92	75081	35269
75181	81,144 	75181	87	75181	27929
75080	83,760 	75080	91	75080	47897
75137	69,836 	75137	89	75137	19102
75041	52,101 	75041	64	75041	32098
75141	51,013 	75141	71	75141	5672
75074	71,951 	75074	81	75074	47916
75032	121,171 	75032	91	75032	30877
75043	66,640 	75043	85	75043	60452
75082	136,128 	75082	95	75082	23014
75001	78,379 	75001	94	75001	14128
75050	58,180 	75050	77	75050	41765
75180	48,474 	75180	63	75180	24011
75126	90,599 	75126	93	75126	37042
75007	95,909 	75007	89	75007	53513
75182	143,295 	75182	94	75182	5677
75075	93,140 	75075	93	75075	35558
75024	116,606 	75024	98	75024	40843
